conversion_%,activation_energy_kJ_mol,r2,E_over_RT,ASTM_b
90,703.0394653280842,0.7084498396631531,115.56726864205561,0.4487
80,736.3118996103244,0.6636843955528403,123.81621926471895,0.4487
70,557.7890915779967,0.4537033924444583,95.38345869779165,0.4487
60,327.1273606522654,0.23972179166243876,56.88915096902099,0.44953325470929373
50,154.26367434251884,0.10252413279862799,27.341132255746107,0.4656588677442539
40,73.00559490273498,0.038162089828716377,13.227735987455604,0.49863358407526637
30,46.10787865166128,0.02081414586554688,8.5855927356414,0.5329485649929956
20,113.201431471384,0.09797623687106703,21.827681666917844,0.4733446366661643
10,295.9109840199536,0.5856176322533713,60.00685563221979,0.4487
